Alternativa,cultura,MAE,RMSE,R2,MAPE_%
Ref. media global (Dummy),"Cocoa, beans",46763.81186827958,46791.07345375505,-1013.2318203834741,567.7892357973444
Ref. media global (Dummy),Oil palm fruit,117829.25264784945,118729.64868906622,-65.98195617587164,67.82311363575819
Ref. media global (Dummy),"Rice, paddy",23396.553803763436,23864.010499123608,-25.252450501030815,76.9429190692313
Ref. media global (Dummy),"Rubber, natural",47601.52154569894,47634.13191421579,-837.4483526076208,650.8326775332223
Ref. media da cultura,"Cocoa, beans",1297.567365591398,1535.281140763988,-0.09191050662524924,15.975410876580613
Ref. media da cultura,Oil palm fruit,12287.666290322582,14789.966464795647,-0.039378765043952324,7.1486269101595665
Ref. media da cultura,"Rice, paddy",3884.478817204301,4693.063498724076,-0.015303413359779139,12.256477368354592
Ref. media da cultura,"Rubber, natural",1616.4648924731177,1766.1476704789611,-0.15264038363773058,21.58804248414541
1. Regressao Linear,"Cocoa, beans",2215.073163133477,2788.141406521849,-2.601146644921108,26.313333000147054
1. Regressao Linear,Oil palm fruit,11972.562118376725,14600.099403177715,-0.01286388602194144,7.004627600280525
1. Regressao Linear,"Rice, paddy",3385.1890277496395,4427.288411998346,0.0964366337121546,10.879668268908487
1. Regressao Linear,"Rubber, natural",2526.36109438801,3166.4508623794404,-2.704975253763821,33.90719512795023
2. Arvore de Decisao,"Cocoa, beans",1342.490074441687,1580.1517621101002,-0.15666824910510435,16.35430781365269
2. Arvore de Decisao,Oil palm fruit,13548.618637992831,18160.303752933174,-0.5670601903107775,7.783633507978747
2. Arvore de Decisao,"Rice, paddy",2933.0811827956986,3918.7029017560367,0.2921069273074589,9.123665575917165
2. Arvore de Decisao,"Rubber, natural",1375.9076923076923,1754.6074746653212,-0.1376266465560556,18.865095764812853
3. Floresta Aleatoria,"Cocoa, beans",1113.2187049284096,1394.918085445964,0.09861853240767204,12.909725500253181
3. Floresta Aleatoria,Oil palm fruit,9417.744231600116,12984.767206999568,0.19886114188831483,5.518378846858777
3. Floresta Aleatoria,"Rice, paddy",2508.0290203791988,3457.826411389775,0.4488251915920394,7.896620052389311
3. Floresta Aleatoria,"Rubber, natural",1347.6936006312287,1628.5822816561752,0.019925213243643713,18.255352387531733
4. KNN,"Cocoa, beans",5955.623965459036,15896.402870442205,-116.06011224603775,69.3652263112173
4. KNN,Oil palm fruit,12683.585372960024,22689.30380698302,-1.4461427735913839,7.19591486215512
4. KNN,"Rice, paddy",5358.980357834904,11617.614093046019,-5.221811910091741,18.505058957653926
4. KNN,"Rubber, natural",3036.3889277697813,9296.514239236842,-30.935967920011503,46.49994247240312
5. SVR (RBF),"Cocoa, beans",5455.503754558048,8849.047019062858,-35.27473263074977,61.33097376538856
5. SVR (RBF),Oil palm fruit,13540.845841275988,16975.826584100352,-0.36930855451913125,7.810270796400516
5. SVR (RBF),"Rice, paddy",5181.146417302251,6919.112738523586,-1.2069058168584768,16.971044959279563
5. SVR (RBF),"Rubber, natural",5280.841764546229,8351.344437086198,-24.772265534883086,72.11363841942945
